2010
Date,Client,Lab,Con,Lib Dem,Other,Lab lead
April 11-12*,The Sun,33,39,20,8,-6
April 10-11*,The Sun,32,37,20,12,-5
April 9-10*,Sunday Times,32,40,18,10,-8
April 8-9*,The Sun,30,40,20,9,-10
April 7-8*,The Sun,31,40,18,11,-9
April 6-7*,The Sun,32,37,19,12,-5
April 5-6 *,The Sun,32,40,17,11,-8
April 4-5*,The Sun,31,41,18,11,-10
Apr 1-2,Sunday Times,29,39,20,12,-10
Mar 31-Apr 1,The Sun,31,39,19,11,-8
Mar 30-31,The Sun,32,38,19,11,-6
Mar 29-30,The Sun,31,38,19,12,-7
Mar 28-29,The Sun,32,39,18,11,-7
Mar 25-26,Sunday Times,32,37,19,13,-5
Mar 24-25,The Sun,33,37,18,12,-4
Mar 23-24,The Sun,34,36,17,13,-2
Mar 22- 23,The Sun,33,37,18,12,-4
Mar 21-22,The Sun,32,36,20,12,-4
Mar 18-19,Sunday Times,31,38,19,13,-7
Mar 17-18,The Sun,32,36,20,12,-4
Mar 16-17,The Sun,32,36,20,11,-4
Mar 15-16,The Sun,32,37,19,12,-5
Mar 14-15,The Sun,32,37,21,10,-5
Mar 11-12,Sunday Times,33,37,17,13,-4
Mar 10-11,The Sun,34,37,17,12,-3
Mar 9-10,The Sun,32,37,17,14,-5
Mar 8-9,The Sun,32,36,20,12,-4
Mar 7-8,The Sun,34,39,16,11,-5
Mar 4-5,Sunday Times,33,38,17,12,-5
Mar 3-4,The Sun,32,38,17,13,-6
Mar 2-3,The Sun,32,38,19,12,-6
Mar 1-2,The Sun,33,38,16,13,-5
Feb 28 - Mar 1,The Sun,32,39,17,12,-7
Feb 25-26,Sunday Times,35,37,17,11,-2
Feb 24-25,The Sun,33,39,16,12,-6
Feb 23-24,The Sun,32,38,19,10,-6
Feb 22-23,The Sun,32,38,17,12,-6
Feb 21-22,The Sun,33,39,17,12,-6
Feb 18-19,Sunday Times,33,39,17,11,-6
Feb 17-18,The Sun,32,39,18,11,-7
Feb 16-17,The Sun,30,39,18,13,-9
Jan 28-29,Daily Telegraph,31,38,19,12,-7
Jan 14-15,Sunday Times,31,40,18,11,-9
Jan 6-7,The Sun,30,42,16,12,-12
Jan 5-6,The Sun,31,40,17,12,-9

2009
Date,Client,Lab,Con,Lib Dem,Other,Lab lead
Dec 29-30,Daily Telegraph,30,40,17,12,-10
Dec 15-17,Sunday People,28,40,18,14,-12
Dec 10-11,Sunday Times,31,40,16,13,-9
Dec 3-4,Sunday Times,27,40,18,15,-13
Nov 24 - 26,Daily Telegraph,29,39,19,13,-10
Nov 12 -13,Sunday Times,27,41,18,14,-14
Oct 27 - 29,Daily Telegraph,28,41,16,15,-13
Oct 15-16,Sunday Times,30,41,17,12,-11
Oct 8-9,The Sun,28,42,18,12,-14
Sept 22-24,Daily Telegraph,26,39,20,15,-13
Sept 10-11,Sunday Times,27,41,17,15,-14
Sept 4-6,Daily Telegraph,27,40,18,15,-13
Aug 27-28,The Sun,28,42,17,14,-14
Aug 25-27,Daily Telegraph,26,42,18,14,-16
Aug 13-14,Sunday Times,28,42,18,13,-14
July 28-30,Daily Telegraph,27,41,18,15,-14
July 21-23,The People,25,40,20,16,-15
July 16-17,Sunday Times,25,42,18,15,-17
June 24-26,The People,24,40,17,19,-16
June 23-25,Daily Telegraph,25,38,18,19,-13
June 11-12,Sunday Times,24,40,18,19,-16
June 2-3,Daily Telegraph,21,37,19,23,-16
